symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,fg_at_entry,fg_at_exit
BNBUSDT,2024-02-20 03:00:00+00:00,2024-02-20 15:00:00+00:00,352.9,351.2,44.093840055374194,-74.9595,-0.4817,trail_stop,74,74
BTCUSDT,2024-02-20 22:00:00+00:00,2024-02-21 07:00:00+00:00,52168.65,51568.64,0.2968796909459751,-178.1308,-1.1501,ema_cross_down,74,75
ETHUSDT,2024-02-21 22:00:00+00:00,2024-02-22 01:00:00+00:00,2934.2,2910.23,5.2480223902210135,-125.7951,-0.8169,trail_stop,75,73
CAKEUSDT,2024-02-22 06:00:00+00:00,2024-02-23 02:00:00+00:00,2.805,2.854,5467.326113739643,267.899,1.7469,trail_stop,73,72
BTCUSDT,2024-02-24 20:00:00+00:00,2024-02-25 16:00:00+00:00,51511.54,51378.48,0.30031715687060256,-39.9602,-0.2583,trail_stop,70,71
ETHUSDT,2024-02-24 12:00:00+00:00,2024-02-26 09:00:00+00:00,2957.31,3040.7,5.231037408599815,436.2162,2.8198,trail_stop,70,72
CAKEUSDT,2024-02-28 09:00:00+00:00,2024-02-28 11:00:00+00:00,3.232,3.159,4847.749765820324,-353.8857,-2.2587,trail_stop,80,80
CAKEUSDT,2024-02-28 13:00:00+00:00,2024-02-28 17:00:00+00:00,3.202,3.1,4782.648816435479,-487.8302,-3.1855,ema_cross_down,80,80
BTCUSDT,2024-02-26 15:00:00+00:00,2024-02-28 20:00:00+00:00,52842.32,60403.21,0.29650339430841205,2241.8295,14.3084,trail_stop,72,80
CAKEUSDT,2024-02-29 13:00:00+00:00,2024-02-29 18:00:00+00:00,3.185,3.138,5139.084477719592,-241.537,-1.4757,ema_cross_down,86,86
BNBUSDT,2024-03-01 08:00:00+00:00,2024-03-01 15:00:00+00:00,407.4,403.0,39.88025423738461,-175.4731,-1.08,trail_stop,85,85
BNBUSDT,2024-03-01 20:00:00+00:00,2024-03-02 06:00:00+00:00,407.9,409.0,39.616276089699056,43.5779,0.2697,trail_stop,85,86
CAKEUSDT,2024-03-01 21:00:00+00:00,2024-03-03 05:00:00+00:00,3.181,3.354,5075.01807813655,877.9781,5.4385,trail_stop,85,86
BNBUSDT,2024-03-06 13:00:00+00:00,2024-03-08 03:00:00+00:00,422.1,464.8,39.194659327477346,1673.612,10.1161,trail_stop,86,89
BTCUSDT,2024-03-06 08:00:00+00:00,2024-03-08 15:00:00+00:00,66941.23,67617.6,0.24828132128131483,167.93,1.0104,trail_stop,86,89
ETHUSDT,2024-03-11 08:00:00+00:00,2024-03-12 08:00:00+00:00,4015.79,3985.4,4.3680142706355545,-132.744,-0.7568,trail_stop,89,92
CAKEUSDT,2024-03-15 23:00:00+00:00,2024-03-16 03:00:00+00:00,4.879,4.635,3581.606077276747,-873.9119,-5.001,trail_stop,89,87
BTCUSDT,2024-03-20 22:00:00+00:00,2024-03-21 17:00:00+00:00,67681.94,65724.99,0.2517318520953371,-492.6266,-2.8914,trail_stop,74,82
BNBUSDT,2024-03-20 23:00:00+00:00,2024-03-21 18:00:00+00:00,556.8,547.7,30.59931772558456,-278.4538,-1.6343,trail_stop,74,82
BNBUSDT,2024-03-23 01:00:00+00:00,2024-03-23 03:00:00+00:00,560.1,550.3,29.730690751607014,-291.3608,-1.7497,ema_cross_down,75,75
BNBUSDT,2024-03-23 12:00:00+00:00,2024-03-23 23:00:00+00:00,558.0,551.9,29.58150448977099,-180.4472,-1.0932,trail_stop,75,75
BNBUSDT,2024-03-24 08:00:00+00:00,2024-03-24 09:00:00+00:00,557.0,554.5,29.47263180717848,-73.6816,-0.4488,ema_cross_down,75,75
BNBUSDT,2024-03-24 12:00:00+00:00,2024-03-25 08:00:00+00:00,562.0,580.1,29.144866773735657,527.5221,3.2206,trail_stop,75,80
ETHUSDT,2024-03-28 11:00:00+00:00,2024-03-28 17:00:00+00:00,3579.73,3553.86,4.649282535593955,-120.2769,-0.7227,trail_stop,81,81
BNBUSDT,2024-03-28 05:00:00+00:00,2024-03-28 20:00:00+00:00,585.7,581.1,28.415871898824907,-130.713,-0.7854,trail_stop,81,81
BTCUSDT,2024-03-30 16:00:00+00:00,2024-03-30 19:00:00+00:00,70178.16,69896.34,0.23536782948108848,-66.3314,-0.4016,ema_cross_down,80,80
ETHUSDT,2024-03-31 05:00:00+00:00,2024-04-01 01:00:00+00:00,3604.2,3609.79,4.573696108796506,25.567,0.1551,trail_stop,80,82
BTCUSDT,2024-03-31 06:00:00+00:00,2024-04-01 03:00:00+00:00,70215.0,70588.01,0.23477199338210303,87.5723,0.5312,trail_stop,80,82
CAKEUSDT,2024-04-01 01:00:00+00:00,2024-04-01 03:00:00+00:00,4.63,4.563,3565.8925435361853,-238.9148,-1.4471,ema_cross_down,82,82
BNBUSDT,2024-04-04 04:00:00+00:00,2024-04-04 21:00:00+00:00,578.2,585.7,28.40129323134852,213.0097,1.2971,trail_stop,72,72
BNBUSDT,2024-04-08 07:00:00+00:00,2024-04-08 14:00:00+00:00,588.7,588.8,28.075645653105614,2.8076,0.017,trail_stop,76,76
BNBUSDT,2024-04-10 11:00:00+00:00,2024-04-10 12:00:00+00:00,586.7,578.4,28.173745318332927,-233.8421,-1.4147,ema_cross_down,75,75
BNBUSDT,2024-04-10 14:00:00+00:00,2024-04-11 06:00:00+00:00,587.6,605.1,27.931612211019136,488.8032,2.9782,trail_stop,75,76
BTCUSDT,2024-04-11 01:00:00+00:00,2024-04-11 11:00:00+00:00,70553.28,69983.16,0.232627247594936,-132.6254,-0.8081,trail_stop,76,76
ETHUSDT,2024-04-27 17:00:00+00:00,2024-04-28 22:00:00+00:00,3257.75,3290.61,5.092687965264937,167.3457,1.0087,trail_stop,58,58
BNBUSDT,2024-04-28 11:00:00+00:00,2024-04-28 23:00:00+00:00,601.7,600.2,27.573050056243723,-41.3596,-0.2493,trail_stop,58,58
CAKEUSDT,2024-05-09 06:00:00+00:00,2024-05-09 10:00:00+00:00,2.688,2.634,6195.571910181909,-334.5609,-2.0089,trail_stop,52,52
BNBUSDT,2024-05-09 02:00:00+00:00,2024-05-10 14:00:00+00:00,598.3,586.3,27.835028070481318,-334.0203,-2.0057,trail_stop,52,56
BTCUSDT,2024-05-10 01:00:00+00:00,2024-05-10 14:00:00+00:00,62883.5,61063.87,0.2595138058698887,-472.2191,-2.8937,trail_stop,56,56
